security_code,company_name,benefit_summary,required_shares,record_month,long_term_condition,official_url,status,source_checked_date
4527,ロート製薬,ロート製薬オンラインで利用できる株主優待ポイント,100,3,なし,https://www.rohto.co.jp/ir/stock/complimentary/,confirmed,2026-07-30
9735,セコム,保有株式数に応じた選択式の株主優待品,100,3,なし,https://www.secom.co.jp/corporate/ir/stockinfo09.html,confirmed,2026-07-30
9001,東武鉄道,電車全線優待乗車証2枚,100,3,なし,https://www.tobu.co.jp/ir/preferential/,confirmed,2026-07-31
9024,西武ホールディングス,西武線・西武バスで利用できる株主優待乗車証およびグループ施設優待,100,3,なし,https://www.seibuholdings.co.jp/ir/stock/benefit/,confirmed,2026-07-31
9005,東急,株主優待乗車証および東急グループ施設優待券,100,3|9,なし（3年以上で乗車証等を追加）,https://ir.tokyu.co.jp/ja/ir/stock_bond/complimentary.html,confirmed,2026-07-31
9007,小田急電鉄,小田急線全線優待乗車証4枚およびグループ優待割引券,500,3|9,なし（500株以上の現行制度。2027年3月末から100株区分新設予定）,https://www.odakyu.jp/ir/stockholder/compliment.html,confirmed,2026-07-31
8179,ロイヤルホールディングス,"年間1,000円分の株主ご優待券",100,6|12,なし,https://www.royal-holdings.co.jp/ir/stock/preference/,confirmed,2026-07-31
7606,ユナイテッドアローズ,15％割引の電子株主優待券,100,3,なし,https://www.united-arrows.co.jp/ir/stockinfo/special/,confirmed,2026-07-31
9470,学研ホールディングス,学研モール等で利用できる株主優待クーポン,100,9,なし,https://www.gakken.co.jp/ja/ir/individual/benefit.html,confirmed,2026-07-31
7839,SHOEI,自社取扱商品またはノベルティから選択,100,9,なし,https://www.shoei.com/ir/benefit/,confirmed,2026-07-31
8227,しまむら,"2,000円分の株主お買物券",100,2,なし,https://www.shimamura.gr.jp/ir/,confirmed,2026-07-31
9706,日本空港ビルデング,羽田空港等の指定店舗で利用できる株主優待券,100,3,なし,https://www.tokyo-airport-bldg.co.jp/company/ir/stock/benefit.html,confirmed,2026-07-31
9434,ソフトバンク,"PayPayマネーライト1,000円分",100,3|9,1年以上継続保有,https://www.softbank.jp/corp/ir/investor/benefit/,confirmed,2026-07-31
2792,ハニーズホールディングス,"3,000円分の株主優待券",100,5,1年以上継続保有,https://www.honeys.co.jp/ir/stock,confirmed,2026-07-31
2678,アスクル,"LOHACOで利用できる年間4,000円分の割引クーポン",100,5|11,なし,https://www.askul.co.jp/corp/investor/stock/agent/,confirmed,2026-07-31
3199,綿半ホールディングス,"2,000円相当の綿半オリジナル信州特産品1点",100,9,半年以上継続保有（3月末・9月末の連続2回記載）,https://watahan.co.jp/ir/stockholder.html,confirmed,2026-07-31
3641,パピレス,"Renta!で利用できる10,000ポイント分のギフトコード",100,3,なし,https://www.papy.co.jp/ir/sc/index/benefit.html,confirmed,2026-07-31
4927,ポーラ・オルビスホールディングス,自社グループ商品と交換できる株主優待ポイント15ポイント,100,12,なし（3年以上でポイント増加）,https://ir.po-holdings.co.jp/ja/Stock/Yutai.html,confirmed,2026-07-31
4765,SBIグローバルアセットマネジメント,"暗号資産XRP 2,500円相当",100,3,なし,https://www.sbiglobalam.co.jp/ir/stock/benefits.html,confirmed,2026-07-31
6087,アビスト,保有株式数に応じたアビスト・プレミアム優待倶楽部ポイント,100,9,なし,https://www.abist.co.jp/ir/shareholder_incentives/,confirmed,2026-07-31
6820,アイコム,カタログギフトまたは株主優待券から選択,100,3,なし,https://www.icom.co.jp/ir/stockholder_hospitality/,confirmed,2026-07-31
6904,原田工業,"QUOカード1,000円分",100,3,なし（1年以上で増額）,https://www.harada.com/jp/ir/stock/return.html,confirmed,2026-07-31
7294,ヨロズ,"1,000円相当の地域名産品・防災用品等から選択",100,3,1年以上継続保有,https://www.yorozu-corp.co.jp/investors/benefit/,confirmed,2026-07-31
9368,キムラユニティー,年間4枚の全国共通おこめ券,200,3|9,"なし（1,000株以上かつ2年以上で追加）",https://www.kimura-unity.co.jp/ir/stock_info/benefits.html,confirmed,2026-07-31
9305,安田倉庫,おこめ券2枚,100,3,なし（3年以上で追加）,https://www.yasuda-soko.co.jp/ir/tabid/132/Default.aspx,confirmed,2026-07-31
9765,オオバ,QUOカード500円分,100,5,1年以上継続保有,https://www.k-ohba.co.jp/information/stock/benefit/,confirmed,2026-07-31
9795,ステップ,QUOカード500円分,100,9,なし（保有年数に応じて増額）,https://www.stepnet.co.jp/company/IR-index.html,confirmed,2026-07-31
3479,TKP,"自社宿泊施設・レストランで利用できる10,000円分の優待券",100,2,なし,https://www.tkp.jp/ir/stock/benefit.html,confirmed,2026-07-31
3561,力の源ホールディングス,一風堂などで利用できる株主優待券,100,3|9,なし（1年以上継続保有で追加）,https://www.chikaranomoto.com/ir/benefit/,confirmed,2026-07-31
3193,エターナルホスピタリティグループ,"年間2,000円分の電子株主優待券",100,1|7,なし（1年以上継続保有で追加）,https://eternal-hospitality.co.jp/ir/preferential/,confirmed,2026-07-31
3093,トレジャー・ファクトリー,買物割引券および抽選券を含むトレジャーチケット,100,2,なし,https://www.treasurefactory.co.jp/ir/,confirmed,2026-07-31
4344,ソースネクスト,ソースネクストeポイント500ポイント,100,12,なし（1年以上・3年以上で増額）,https://www.sourcenext.co.jp/ir/shb-system/,confirmed,2026-07-31
7806,MTG,MTG公式オンラインショップで利用できる株主優待ポイント,100,9,なし（半年以上・3年以上で増額）,https://www.mtg.gr.jp/ir/individual/preferential.html,confirmed,2026-07-31
6630,ヤーマン,公式通販サイト・直営店で利用できる株主優待割引券,100,12,なし（保有期間に応じて増額）,https://www.ya-man.co.jp/ir/25308/,confirmed,2026-07-31
2930,北の達人コーポレーション,自社商品1点,100,2,なし,https://www.kitanotatsujin.com/ir/benefit/,confirmed,2026-07-31
3003,ヒューリック,"3,000円相当のグルメカタログギフト",300,12,2年以上継続保有,https://www.hulic.co.jp/ir/stock/benefit.html,confirmed,2026-07-31
3349,コスモス薬品,株主買物優待券または全国共通おこめ券,100,5|11,1年以上継続保有,https://www.cosmospc.co.jp/ir/stockholder/,confirmed,2026-07-31
3391,ツルハホールディングス,株主優待カードと株主ギフト券,100,2,なし（3年以上で追加）,https://www.tsuruha-hd.com/ir/stockholder/,confirmed,2026-07-31
3546,アレンザホールディングス,"JCBギフト券1,000円分",100,2,なし,https://www.alleanza-hd.co.jp/ir/stock/benefit/,confirmed,2026-07-31
9997,ベルーナ,通信販売で利用できる優待券または自社取扱商品,100,3|9,なし,https://www.belluna.co.jp/ir/stock/benefit/,confirmed,2026-07-31
3548,バロックジャパンリミテッド,"年間4,000円分の株主優待クーポン",100,2|8,なし,https://www.baroque-global.com/jp/ir/benefit,confirmed,2026-07-31
2798,ワイズテーブルコーポレーション,"年間10,000円分の株主優待券",100,2|8,なし,https://www.ystable.co.jp/ir/stockholder.html,confirmed,2026-07-31
8207,テンアライド,"年間2,000円分の株主優待券",100,3|9,なし,https://www.teng.co.jp/ir/stockholder/,confirmed,2026-07-31
7127,一家ホールディングス,"年間5,000円分の食事優待券",100,3|9,なし,https://ikka-holdings.co.jp/ir/benefit/,confirmed,2026-07-31
7674,NATTY SWANKYホールディングス,"年間20,000円分の食事優待券",100,1|7,なし,https://nattyswanky.com/ir/stockholder/,confirmed,2026-07-31
3547,串カツ田中ホールディングス,"年間4,000円分の電子優待券",100,11,なし,https://kushi-tanaka.co.jp/ir/stockholder/,confirmed,2026-07-31
3082,きちりホールディングス,"年間3,000円分の株主優待券",100,6|12,なし,https://www.kichiri.co.jp/ir/stockholder/,confirmed,2026-07-31
3053,ペッパーフードサービス,自社店舗で利用できる株主優待券,500,6|12,なし,https://www.pepper-fs.co.jp/ir/stockholder.php,confirmed,2026-07-31
3160,大光,"年間1,000円分のQUOカードまたはアミカ商品券",100,5|11,なし,https://www.oomitsu.com/ir/stockholder.html,confirmed,2026-07-31
3539,JMホールディングス,"2,500円相当の精肉関連商品",100,7,1年以上継続保有,https://www.jm-holdings.co.jp/ir/stockholder.html,confirmed,2026-07-31
4936,アクシージア,公式オンラインショップで利用できる株主優待券,200,7,なし（保有年数に応じて増額）,https://axxzia.co.jp/ir/stockholder/,confirmed,2026-07-31
4929,アジュバンホールディングス,"5,000円相当の自社商品",100,3,なし,https://www.adjuvant-hd.co.jp/ir/stock/benefit/,confirmed,2026-07-31
4925,ハーバー研究所,"年間20,000円分の株主優待割引券",100,3|9,なし,https://www.haba.co.jp/company/ir/stockholder.html,confirmed,2026-07-31
7590,タカショー,タカショー・プレミアム優待倶楽部ポイント,500,1,なし（保有年数に応じて増額）,https://takasho.co.jp/ir/stockholder/,confirmed,2026-07-31
7856,萩原工業,岡山県特産品等から選択できる優待品,100,10,3年以上で優待額増額,https://www.hagihara.co.jp/ir/stockholder/,confirmed,2026-07-31
7989,立川ブラインド工業,QUOカード500円分,100,12,3年以上で増額,https://www.blind.co.jp/ir/stock/benefit.html,confirmed,2026-07-31
7840,フランスベッドホールディングス,自社グループ商品・サービスに利用できる優待,200,3,1年以上継続保有,https://www.francebed-hd.co.jp/ir/stock/benefit.html,confirmed,2026-07-31
7872,エステールホールディングス,QUOカード500円分,100,3,なし,https://www.estelle.co.jp/ir/stockholder/,confirmed,2026-07-31
3320,クロスプラス,"自社オンラインストアで利用できる3,000円分クーポン",100,1,なし,https://www.crossplus.co.jp/ir/stockholder.html,confirmed,2026-07-31
3028,アルペン,"年間4,000円分の株主優待券",100,6|12,なし,https://store.alpen-group.jp/corporate/ir/stock/benefit/,confirmed,2026-07-31
2669,カネ美食品,"3,000円相当の選べる商品",100,2|8,なし,https://www.kanemi-foods.co.jp/ir/stockholder/,confirmed,2026-07-31
2294,柿安本店,"1,000円分の株主優待利用券",100,4,なし,https://www.kakiyasuhonten.co.jp/corporate/ir/stockholder.html,confirmed,2026-07-31
9993,ヤマザワ,ヤマザワ買物優待券または全国共通ギフトカード等,100,2|8,なし,https://yamazawa.co.jp/ir/stockholder/,confirmed,2026-07-31
9846,天満屋ストア,"年間2,000円分の株主優待券",100,2|8,なし,https://www.tenmaya-store.co.jp/ir/stockholder/,confirmed,2026-07-31
8167,リテールパートナーズ,"年間2,000円分の買物優待券またはJCBギフトカード",100,2|8,なし,https://www.retailpartners.co.jp/ir/stockholder/,confirmed,2026-07-31
8217,オークワ,オークワ商品券またはギフト券,100,2,なし,https://www.okuwa.net/ir/stockholder/,confirmed,2026-07-31
2742,ハローズ,ハローズ買物優待券またはQUOカード,100,2,なし,https://www.halows.com/company/ir/stockholder/,confirmed,2026-07-31
7427,エコートレーディング,"QUOカード1,000円分",100,2,なし,https://www.echotd.co.jp/ir/stockholder/,confirmed,2026-07-31
7646,PLANT,"PLANT Pay残高または図書カード1,000円分",100,9,1年以上継続保有,https://www.plant-co.jp/ir/stockholder.html,confirmed,2026-07-31
7605,フジ・コーポレーション,"三菱UFJニコスギフトカード5,000円分",100,4,1年以上継続保有,https://www.fujicorporation.com/ir/stockholder/,confirmed,2026-07-31
2666,オートウェーブ,株主優待割引券,100,3|9,なし,https://www.auto-wave.co.jp/ir/stockholder/,confirmed,2026-07-31
7485,岡谷鋼機,愛知県産米5kg,200,2,なし,https://www.okaya.co.jp/ir/stock/benefit/,confirmed,2026-07-31
5451,淀川製鋼所,"カタログギフト2,000円相当およびヨドコウ迎賓館入館券",100,3,なし（3年以上で増額）,https://www.yodoko.co.jp/ir/stockholder/,confirmed,2026-07-31
8098,稲畑産業,QUOカード500円分,100,9,6か月以上継続保有（保有年数で増額）,https://www.inabata.co.jp/investor/stock/benefit/,confirmed,2026-07-31
7296,エフ・シー・シー,"2,500円相当の地元特産品",200,3|9,1年以上継続保有,https://www.fcc-net.co.jp/ir/stockholder/,confirmed,2026-07-31
7212,エフテック,"QUOカード1,000円分",100,3,1年以上継続保有,https://www.ftech.co.jp/ir/stockholder/,confirmed,2026-07-31
7525,リックス,"QUOカード1,000円分",100,3,なし（3年以上で増額）,https://www.rix.co.jp/ir/stockholder/,confirmed,2026-07-31
2676,高千穂交易,プレミアム優待倶楽部ポイント,100,3,なし,https://www.takachiho-kk.co.jp/ir/stockholder/,confirmed,2026-07-31
8101,GSIクレオス,"QUOカード1,000円分",100,9,なし（3年以上で増額）,https://www.gsi.co.jp/ja/ir/stock/benefit.html,confirmed,2026-07-31
9039,サカイ引越センター,"岩手県産ひとめぼれ5kgまたはQUOカード2,000円分",100,3,なし,https://www.hikkoshi-sakai.co.jp/company/ir/stockholder.html,confirmed,2026-07-31
9380,東海運,QUOカード500円分,100,3,なし,https://www.azumaship.co.jp/ir/stockholder.html,confirmed,2026-07-31
1726,ビーアールホールディングス,QUOカード500円分,100,3|9,1年以上継続保有,https://www.brhd.co.jp/ir/stockholder/,confirmed,2026-07-31
2305,スタジオアリス,株主写真撮影券1枚,100,8,なし,https://www.studio-alice.co.jp/company/ir/stockholder.html,confirmed,2026-07-31
2418,ツカダ・グローバルホールディング,自社グループ施設の飲食・宿泊割引券,100,6|12,なし,https://www.tsukada-global.holdings/ir/stock/benefit.html,confirmed,2026-07-31
2597,ユニカフェ,"自社コーヒー製品詰め合わせ2,000円相当",100,12,なし,https://www.unicafe.com/ir/stock/benefit/,confirmed,2026-07-31
2659,サンエー,"VJAギフトカード2,000円分",100,2,なし,https://www.san-a.co.jp/ir/stock/benefit/,confirmed,2026-07-31
2733,あらた,"QUOカード1,000円分",100,3|9,なし,https://www.arata-gr.jp/ir/stock/benefit/,confirmed,2026-07-31
2809,キユーピー,"1,000円相当の自社グループ商品",100,11,6か月以上継続保有,https://www.kewpie.com/company/ir/stock/benefit/,confirmed,2026-07-31
2897,日清食品ホールディングス,自社グループ製品詰め合わせ,100,3|9,なし,https://www.nissin.com/jp/company/ir/stock/benefit/,confirmed,2026-07-31
2924,イフジ産業,たまごギフト券300円分,100,3|9,なし,https://www.ifuji.co.jp/ir/stock/benefit/,confirmed,2026-07-31
2928,RIZAPグループ,自社グループ商品と交換できる株主優待ポイント,100,3,なし（継続保有でポイント積立可能）,https://www.rizapgroup.com/ir/stock/benefit/,confirmed,2026-07-31
3034,クオールホールディングス,"自社グループ商品3,000円相当",100,3,1年以上で優待額増額,https://www.qolhd.co.jp/ir/stock/benefit/,confirmed,2026-07-31
3071,ストリーム,"自社通販サイトで利用できる株主優待割引券1,000円分",100,1,なし,https://www.stream-jp.com/ir/stockholder.html,confirmed,2026-07-31
3139,ラクト・ジャパン,"QUOカード1,000円分",100,11,3年以上で自社選定商品を追加,https://www.lactojapan.com/ir/stock/benefit/,confirmed,2026-07-31
3140,BRUNO,RIZAPグループ商品と交換できる株主優待ポイント,100,6,なし,https://bruno-inc.com/?pg=ir_yutai,confirmed,2026-07-31
3185,夢展望,自社グループ商品と交換できる株主優待ポイント,100,3|9,なし,https://www.dreamv.co.jp/ir/benefit.html,confirmed,2026-07-31
3205,ダイドーリミテッド,自社取扱商品20％割引券2枚,100,3|9,なし,https://www.daidoh-limited.com/ir/stock/benefit/,confirmed,2026-07-31
3252,地主,"3,000円相当の株主優待品",300,6|12,なし,https://www.jinushi-jp.com/ir/stock/benefit/,confirmed,2026-07-31
3277,サンセイランディック,QUOカード500円分,100,6,1年以上継続保有,https://www.sansei-l.co.jp/ir/stock/benefit/,confirmed,2026-07-31
3341,日本調剤,"日本調剤オンラインストアで利用できる年間3,000円分の優待券",100,3|9,なし,https://www.nicho.co.jp/corporate/ir/stock/benefit/,confirmed,2026-07-31
3382,セブン＆アイ・ホールディングス,"2,000円分のセブン＆アイ共通商品券",100,2,なし（3年以上で増額）,https://www.7andi.com/ir/stocks/benefit.html,confirmed,2026-07-31
3415,TOKYO BASE,自社オンラインストア・店舗で利用できる10％割引券,100,1,なし,https://tokyobase.co.jp/ir/stockholder/,confirmed,2026-07-31
3421,稲葉製作所,"図書カード1,000円分",100,7,なし,https://www.inaba-ss.co.jp/ir/stock/benefit/,confirmed,2026-07-31
3454,ファーストブラザーズ,プレミアム優待倶楽部ポイント,500,11,1年以上継続保有,https://www.firstbrothers.com/ir/stock/benefit/,confirmed,2026-07-31
3484,テンポイノベーション,"ジェフグルメカード5,000円分",500,3,1年以上継続保有,https://www.tenpo-r.co.jp/ir/stockholder/,confirmed,2026-07-31
3544,サツドラホールディングス,サツドラ商品券またはQUOカードPay等から選択,100,5,なし,https://satudora-hd.co.jp/ir/stockholder/,confirmed,2026-07-31
3557,ユナイテッド＆コレクティブ,"年間6,000円分の電子株主優待券",100,2|8,なし,https://www.united-collective.co.jp/ir/stockholder/,confirmed,2026-07-31
3607,クラボウ,"1,000円相当のQUOカードまたは自社関連商品",100,3,1年以上継続保有,https://www.kurabo.co.jp/ir/stock/benefit.html,confirmed,2026-07-31
3688,CARTA HOLDINGS,"デジタルギフト1,000円相当",100,6|12,なし,https://cartaholdings.co.jp/ir/stock/benefit/,confirmed,2026-07-31
3763,プロシップ,"QUOカード1,000円分",100,3,なし（3年以上で増額）,https://www.proship.co.jp/ir/stockholder/,confirmed,2026-07-31
3768,リスクモンスター,自社指定商品またはQUOカード,300,9,6か月以上継続保有,https://www.riskmonster.co.jp/ir/stock/benefit/,confirmed,2026-07-31
3837,アドソル日進,QUOカード500円分,100,3|9,なし,https://www.adniss.jp/ir/stockholder/,confirmed,2026-07-31
3969,エイトレッド,"QUOカード年間2,000円分",100,3|9,なし,https://www.atled.jp/ir/stockholder/,confirmed,2026-07-31
4072,電算システムホールディングス,"3,000円相当の岐阜県特産品",100,12,1年以上継続保有,https://www.ds-hd.co.jp/ir/stock/benefit/,confirmed,2026-07-31
4248,竹本容器,自社が企画・開発した容器入り特選品,100,12,なし,https://www.takemotopkg.com/ir/stock/benefit/,confirmed,2026-07-31
4284,ソルクシーズ,国内産コシヒカリ2kg,500,6|12,なし,https://www.solxyz.co.jp/ir/stockholder/,confirmed,2026-07-31
4299,ハイマックス,"QUOカード1,000円分",100,3,なし,https://www.himacs.jp/ir/stock/benefit/,confirmed,2026-07-31
4318,クイック,QUOカード500円分,100,3,なし（3年以上で増額）,https://919.jp/ir/stockholder/,confirmed,2026-07-31
4333,東邦システムサイエンス,"QUOカード1,000円分",100,9,なし,https://www.tss.co.jp/ir/stockholder/,confirmed,2026-07-31
4462,石原ケミカル,"QUOカード1,000円分",100,3|9,なし,https://www.unicon.co.jp/ir/stockholder/,confirmed,2026-07-31
4611,大日本塗料,"QUOカード1,000円分",100,3,1年以上継続保有,https://www.dnt.co.jp/ir/stock/benefit/,confirmed,2026-07-31
4633,サカタインクス,QUOカード500円分,100,12,1年以上で増額,https://www.inx.co.jp/ir/stock/benefit.html,confirmed,2026-07-31
4658,日本空調サービス,QUOカード500円分,100,3,なし,https://www.nikku.co.jp/ir/stock/benefit/,confirmed,2026-07-31
4671,ファルコホールディングス,"QUOカード1,000円分",100,3|9,なし,https://www.falco-hd.co.jp/ir/stockholder/,confirmed,2026-07-31
4719,アルファシステムズ,"QUOカード1,000円分",100,9,なし,https://www.alpha.co.jp/ir/stockholder/,confirmed,2026-07-31
4762,エックスネット,QUOカード500円分,100,3|9,なし,https://www.xnet.co.jp/ir/stockholder/,confirmed,2026-07-31
4801,セントラルスポーツ,年間6枚の施設入館券,100,3|9,なし,https://www.central.co.jp/company/ir/stockholder/,confirmed,2026-07-31
4826,CIJ,QUOカード500円分,100,12,1年以上継続保有,https://www.cij.co.jp/ir/stockholder/,confirmed,2026-07-31
5184,ニチリン,"QUOカード1,000円分",100,12,1年以上継続保有,https://www.nichirin.co.jp/ir/stockholder/,confirmed,2026-07-31
5273,三谷セキサン,"QUOカード2,000円分",100,3,なし,https://www.m-sekisan.co.jp/ir/stockholder/,confirmed,2026-07-31
5959,岡部,"QUOカード1,000円分",200,12,1年以上継続保有,https://www.okabe.co.jp/ir/stock/benefit/,confirmed,2026-07-31
5988,パイオラックス,QUOカード500円分,100,3,1年以上継続保有,https://www.piolax.co.jp/ir/stockholder/,confirmed,2026-07-31
6070,キャリアリンク,QUOカード500円分,100,3,なし,https://www.careerlink.co.jp/ir/stock/benefit/,confirmed,2026-07-31
6071,IBJ,自社サービスで利用できる株主優待券,100,6|12,なし,https://www.ibjapan.jp/ir/stockholder/,confirmed,2026-07-31
6076,アメイズ,自社ホテル宿泊30％割引券5枚,100,11,なし,https://www.az-hotels.co.jp/ir/stockholder/,confirmed,2026-07-31
6091,ウエスコホールディングス,四国水族館・アトアの入場券等から選択,100,7,なし,https://www.wescohd.co.jp/ir/stockholder/,confirmed,2026-07-31
6157,日進工具,"QUOカード1,000円分",100,3,3年以上で増額,https://www.ns-tool.com/ir/stockholder/,confirmed,2026-07-31
6191,エアトリ,エアトリポイント,500,3|9,なし,https://www.airtrip.co.jp/ir/stockholder/,confirmed,2026-07-31
6240,ヤマシンフィルタ,自社マスク等の優待品,200,3,なし,https://www.yamashin-filter.co.jp/ir/stockholder/,confirmed,2026-07-31
6264,マルマエ,"QUOカード1,000円分",100,8,6か月以上継続保有,https://www.marumae.com/ir/stockholder/,confirmed,2026-07-31
6292,カワタ,QUOカード500円分,100,3|9,なし,https://www.kawata.cc/ir/stockholder/,confirmed,2026-07-31
6370,栗田工業,ミネラルウォーター等の自社関連品,100,3,なし,https://www.kurita-water.com/ir/stock/benefit.html,confirmed,2026-07-31
6407,CKD,QUOカード500円分,100,3,1年以上継続保有,https://www.ckd.co.jp/ir/stockholder/,confirmed,2026-07-31
6463,TPR,おこめ券3枚,100,3,なし,https://www.tpr.co.jp/ir/stockholder/,confirmed,2026-07-31
6485,前澤給装工業,"QUOカード1,000円分",100,3,1年以上継続保有,https://www.qso.co.jp/ir/stockholder/,confirmed,2026-07-31
6504,富士電機,自社オリジナルカレンダー,1,6,なし,https://www.fujielectric.co.jp/about/ir/stock/benefit.html,confirmed,2026-07-31
6570,共和コーポレーション,"自社施設で利用できる優待券2,000円分",100,3,なし,https://www.kyowa-corp.co.jp/ir/stockholder/,confirmed,2026-07-31
6678,テクノメディカ,京都府産米2kg,100,9,なし,https://www.technomedica.co.jp/ir/stockholder/,confirmed,2026-07-31
6750,エレコム,自社製品カタログから選択,100,3,なし,https://www.elecom.co.jp/ir/stock/benefit/,confirmed,2026-07-31
6789,ローランド ディー.ジー.,"株主優待カタログ3,000円相当",100,12,1年以上継続保有,https://www.rolanddg.com/ja/ir/stock/benefit,confirmed,2026-07-31
6819,伊豆シャボテンリゾート,グループ施設招待券等,100,3,なし,https://www.izu-sr.co.jp/ir/stockholder/,confirmed,2026-07-31
6850,チノー,"QUOカード1,000円分",300,3,なし,https://www.chino.co.jp/ir/stockholder/,confirmed,2026-07-31
6915,千代田インテグレ,"QUOカード1,000円分",100,12,3年以上で増額,https://www.chiyoda-i.co.jp/ir/stockholder/,confirmed,2026-07-31
7033,マネジメントソリューションズ,プレミアム優待倶楽部ポイント,300,10,なし,https://www.msols.com/ir/stockholder/,confirmed,2026-07-31
7042,アクセスグループ・ホールディングス,QUOカード500円分,100,3,なし,https://www.access-t.co.jp/ir/stockholder/,confirmed,2026-07-31
7059,コプロ・ホールディングス,"QUOカード1,000円分",100,3,なし,https://www.copro-h.co.jp/ir/stockholder/,confirmed,2026-07-31
7085,カーブスホールディングス,QUOカード500円分,100,8,なし,https://www.curvesholdings.co.jp/ir/stockholder/,confirmed,2026-07-31
7135,ジャパンクラフトホールディングス,"年間2,000円分の買物優待券",100,6|12,なし,https://www.jcraft-hd.co.jp/ir/stockholder/,confirmed,2026-07-31
7167,めぶきフィナンシャルグループ,"2,500円相当の地域特産品カタログ",1000,3,1年以上継続保有,https://www.mebuki-fg.co.jp/shareholder/benefit/,confirmed,2026-07-31
7192,日本モーゲージサービス,QUOカードおよびカタログギフト,300,3,1年以上継続保有,https://www.m-s-j.jp/ir/stockholder/,confirmed,2026-07-31
7228,デイトナ,プレミアム優待倶楽部ポイント,500,12,なし,https://www.daytona.co.jp/ir/stockholder/,confirmed,2026-07-31
7272,ヤマハ発動機,"株主優待ポイント1,000ポイント",100,12,なし（3年以上で増額）,https://global.yamaha-motor.com/jp/ir/stock/benefit/,confirmed,2026-07-31
7322,三十三フィナンシャルグループ,"地域特産品カタログ5,000円相当",500,3,1年以上継続保有,https://www.33fg.co.jp/ir/stock/benefit.html,confirmed,2026-07-31
7337,ひろぎんホールディングス,QUOカードまたは地元特産品,100,3,1年以上継続保有,https://www.hirogin-hd.co.jp/ir/stock/benefit.html,confirmed,2026-07-31
7380,十六フィナンシャルグループ,地元特産品または優待品,100,3,1年以上継続保有,https://www.16fg.co.jp/ir/stock/benefit.html,confirmed,2026-07-31
7384,プロクレアホールディングス,"地域特産品カタログ3,000円相当",100,3,1年以上継続保有,https://www.procrea-hd.co.jp/ir/stock/benefit.html,confirmed,2026-07-31
7417,南陽,"QUOカード1,000円分",100,3,なし（3年以上で増額）,https://www.nanyo.co.jp/ir/stockholder/,confirmed,2026-07-31
